,Specs,Infos
0,TYPE,2-cylinder/4-stroke/8-valve
1,DISPLACEMENT,300c.c.
2,BORE x STROKE,"65 x 45,2 mm"
3,COMPRESSION RATIO,12:1
4,RATED OUTPUT,28 kW (38 Cv) @ 11000 rpm
5,MAX. TORQUE,"25,6 Nm (2,6 kgm) @ 9000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic injection with twin ø 38 mm throttle bodies
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet multi-plate type
11,GEARBOX,6-Speed
12,FINAL DRIVE,Chain
13,Ignition,TLI
14,Spark plug,NGK CR8E
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,4.3 l / 100 km
19,CO2 EMISSIONS,99 g/km
20,TYPE,2-cylinder/4-stroke/8-valve
21,DISPLACEMENT,300c.c.
22,BORE x STROKE,"65 x 45,2 mm"
23,COMPRESSION RATIO,12:1
24,RATED OUTPUT,28 kW (38 Cv) @ 11000 rpm
25,MAX. TORQUE,"25,6 Nm (2,6 kgm) @ 9000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic injection with twin ø 38 mm throttle bodies
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet multi-plate type
31,GEARBOX,6-Speed
32,FINAL DRIVE,Chain
33,Ignition,TLI
34,Spark plug,NGK CR8E
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,4.3 l / 100 km
39,CO2 EMISSIONS,99 g/km
40,FRAME,Steel trestle in steel tubes
41,FRONT SUSPENSION,ø 41 mm upside down forks
42,FRONT SUSPENSION STROKE,135 mm
43,REAR SUSPENSION,Rear swing arm with lateral shock absorber with extension hydraulic brake and spring preload adjustment
44,REAR SHOCK ABSORBER STROKE,46 mm
45,FRONT BRAKE,Double floating disks ø260 mm with 4 pistons caliper and ABS
46,FRONT RIM TYPE,Alluminium alloy
47,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
48,REAR BRAKE,Single disc ø240 mm with floating calliper single piston and ABS
49,REAR RIM TYPE,Alluminium alloy
50,REAR RIM DIMENSIONS,"17” x MT 4,50” DOT"
51,FRONT TYRE,120/70-ZR17
52,REAR TYRE,160/60 - ZR17
53,FRAME,Steel trestle in steel tubes
54,FRONT SUSPENSION,ø 41 mm upside down forks
55,FRONT SUSPENSION STROKE,135 mm
56,REAR SUSPENSION,Rear swing arm with lateral shock absorber with extension hydraulic brake and spring preload adjustment
57,REAR SHOCK ABSORBER STROKE,46 mm
58,FRONT BRAKE,Double floating disks ø260 mm with 4 pistons caliper and ABS
59,FRONT RIM TYPE,Alluminium alloy
60,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
61,REAR BRAKE,Single disc ø240 mm with floating calliper single piston and ABS
62,REAR RIM TYPE,Alluminium alloy
63,REAR RIM DIMENSIONS,"17” x MT 4,50” DOT"
64,FRONT TYRE,120/70-ZR17
65,REAR TYRE,160/60 - ZR17
66,WIDTH EXCLUDING MIRRORS,800 mm
67,GROUND CLEARANCE,175 mm
68,UNLADEN WEIGHT,185 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,16 lt
72,RESERVE,3 lt
73,WHEELBASE,1410 mm
