,Specs,Infos
0,TYPE,"Single cylinder, 4 stroke, liquid cooled, 4 valves, double overhead camshaft"
1,DISPLACEMENT,"249,2 c.c."
2,BORE x STROKE,"72 x 61,2 mm"
3,COMPRESSION RATIO,"11,2:1"
4,RATED OUTPUT,"19 kW (25,8 Cv) @ 9250 rpm"
5,MAX. TORQUE,"21,2 Nm (2,16 kgm) @ 8000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,Delphi MT05
14,Spark plug,NGK CR8E
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"4,1 l/100 km"
19,CO2 EMISSIONS,96 g/km
20,TYPE,"Single cylinder, 4 stroke, liquid cooled, 4 valves, double overhead camshaft"
21,DISPLACEMENT,"249,2 c.c."
22,BORE x STROKE,"72 x 61,2 mm"
23,COMPRESSION RATIO,"11,2:1"
24,RATED OUTPUT,"19 kW (25,8 Cv) @ 9250 rpm"
25,MAX. TORQUE,"21,2 Nm (2,16 kgm) @ 8000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,Delphi MT05
34,Spark plug,NGK CR8E
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"4,1 l/100 km"
39,CO2 EMISSIONS,96 g/km
40,FRAME,Trestle in steel tubes
41,FRONT SUSPENSION,Ø 41 mm upside-down forks
42,FRONT SUSPENSION STROKE,120 mm
43,REAR SUSPENSION,Rear swing arm with central rear shock absorber with extension hydraulic brake.
44,REAR SHOCK ABSORBER STROKE,51 mm
45,FRONT BRAKE,Steel disk ø280 mm with 4 pistons caliper with ABS
46,FRONT RIM TYPE,Aluminum alloy
47,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
48,REAR BRAKE,Single disc ø240 mm with single piston floatingcaliper with ABS
49,REAR RIM TYPE,Aluminum alloy
50,REAR RIM DIMENSIONS,17” x MT 4.50” DOT
51,FRONT TYRE,110/70-ZR17
52,REAR TYRE,150/60 - ZR17
53,FRAME,Trestle in steel tubes
54,FRONT SUSPENSION,Ø 41 mm upside-down forks
55,FRONT SUSPENSION STROKE,120 mm
56,REAR SUSPENSION,Rear swing arm with central rear shock absorber with extension hydraulic brake.
57,REAR SHOCK ABSORBER STROKE,51 mm
58,FRONT BRAKE,Steel disk ø280 mm with 4 pistons caliper with ABS
59,FRONT RIM TYPE,Aluminum alloy
60,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT
61,REAR BRAKE,Single disc ø240 mm with single piston floatingcaliper with ABS
62,REAR RIM TYPE,Aluminum alloy
63,REAR RIM DIMENSIONS,17” x MT 4.50” DOT
64,FRONT TYRE,110/70-ZR17
65,REAR TYRE,150/60 - ZR17
66,WIDTH EXCLUDING MIRRORS,810 mm
67,GROUND CLEARANCE,140 mm
68,UNLADEN WEIGHT,145 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,"17,0 lt"
72,RESERVE,"3,5 lt"
73,WHEELBASE,1400 mm
