,Specs,Infos
0,TYPE,"2 cylinders in line, 4 stroke, liquid cooling, double overhead camshaft, 4 valves per cylinder"
1,DISPLACEMENT,"499,6 c.c."
2,BORE x STROKE,"69 x 66,8 mm"
3,COMPRESSION RATIO,"11,5:1"
4,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
5,MAX. TORQUE,"45 Nm (4,6 kgm) @ 4500 rpm"
6,LUBRICATION,Wet carter
7,FUEL SUPPLY,Electronic injection with throttle body ø 37 mm
8,EXHAUST SYSTEM,With catalyzed system and lambda probe
9,CERTIFICATION,Euro 4
10,CLUTCH,Oil
11,GEARBOX,6 reports
12,FINAL DRIVE,Chain
13,Ignition,Delphi MT05
14,Spark plug,NGK CR8E
15,Starting,Eletric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"4,3 l/100 km"
19,CO2 EMISSIONS,100 g/km
20,TYPE,"2 cylinders in line, 4 stroke, liquid cooling, double overhead camshaft, 4 valves per cylinder"
21,DISPLACEMENT,"499,6 c.c."
22,BORE x STROKE,"69 x 66,8 mm"
23,COMPRESSION RATIO,"11,5:1"
24,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
25,MAX. TORQUE,"45 Nm (4,6 kgm) @ 4500 rpm"
26,LUBRICATION,Wet carter
27,FUEL SUPPLY,Electronic injection with throttle body ø 37 mm
28,EXHAUST SYSTEM,With catalyzed system and lambda probe
29,CERTIFICATION,Euro 4
30,CLUTCH,Oil
31,GEARBOX,6 reports
32,FINAL DRIVE,Chain
33,Ignition,Delphi MT05
34,Spark plug,NGK CR8E
35,Starting,Eletric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"4,3 l/100 km"
39,CO2 EMISSIONS,100 g/km
40,FRAME,Steel tube frame
41,FRONT SUSPENSION,Upside-down fork with ø 50mm stems
42,FRONT SUSPENSION STROKE,135mm
43,REAR SUSPENSION,Swinging swingarm with single side shock absorber adjustable in spring preload and extension brake
44,REAR SHOCK ABSORBER STROKE,60 mm - (145mm wheel excursion post)
45,FRONT BRAKE,Double disc ø320 mm with radial caliper 4 pistons and ABS
46,FRONT RIM TYPE,Rim and hub In aluminum alloy with steel spokes
47,FRONT RIM DIMENSIONS,19” x 3.00” DOT -D
48,REAR BRAKE,Single disc ø260 mm with double piston caliper
49,REAR RIM TYPE,Spokes in aluminum alloy
50,REAR RIM DIMENSIONS,17” x 4.25” DOT - D
51,FRONT TYRE,110/80- R19
52,REAR TYRE,150/70 - R17
53,FRAME,Steel tube frame
54,FRONT SUSPENSION,Upside-down fork with ø 50mm stems
55,FRONT SUSPENSION STROKE,135mm
56,REAR SUSPENSION,Swinging swingarm with single side shock absorber adjustable in spring preload and extension brake
57,REAR SHOCK ABSORBER STROKE,60 mm - (145mm wheel excursion post)
58,FRONT BRAKE,Double disc ø320 mm with radial caliper 4 pistons and ABS
59,FRONT RIM TYPE,Rim and hub In aluminum alloy with steel spokes
60,FRONT RIM DIMENSIONS,19” x 3.00” DOT -D
61,REAR BRAKE,Single disc ø260 mm with double piston caliper
62,REAR RIM TYPE,Spokes in aluminum alloy
63,REAR RIM DIMENSIONS,17” x 4.25” DOT - D
64,FRONT TYRE,110/80- R19
65,REAR TYRE,150/70 - R17
66,WIDTH EXCLUDING MIRRORS,800 mm
67,GROUND CLEARANCE,185 mm
68,UNLADEN WEIGHT,170 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,15 lt
72,RESERVE,3 lt
73,WHEELBASE,1450 mm
