,Specs,Infos
0,TYPE,"Single cylinder, 4 stroke, oil cooled 4 valves, single overhead camshaft (SOHC), double spark"
1,DISPLACEMENT,"134,7 c.c."
2,BORE x STROKE,54 x 58.8 mm
3,COMPRESSION RATIO,"9,8:1"
4,RATED OUTPUT,"9,5 kW (13 Hp) @ 9000 rpm"
5,MAX. TORQUE,"10,8 Nm (1,0 kgm) @ 7000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body d.28
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,5 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,DELPHI MT 05
14,Spark plug,BOSCH A7RC
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,N/A
19,CO2 EMISSIONS,N/A
20,TYPE,"Single cylinder, 4 stroke, oil cooled 4 valves, single overhead camshaft (SOHC), double spark"
21,DISPLACEMENT,"134,7 c.c."
22,BORE x STROKE,54 x 58.8 mm
23,COMPRESSION RATIO,"9,8:1"
24,RATED OUTPUT,"9,5 kW (13 Hp) @ 9000 rpm"
25,MAX. TORQUE,"10,8 Nm (1,0 kgm) @ 7000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body d.28
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,5 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,DELPHI MT 05
34,Spark plug,BOSCH A7RC
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,N/A
39,CO2 EMISSIONS,N/A
40,FRAME,Trestle in steel tubes
41,FRONT SUSPENSION,Upside-down forks d.41mm
42,FRONT SUSPENSION STROKE,120 mm
43,REAR SUSPENSION,Rear swing arm with lateral shock absorber with spring pre-load adjustment
44,REAR SHOCK ABSORBER STROKE,50 mm
45,FRONT BRAKE,Steel disk ø220 mm with 2 pistons caliper
46,FRONT RIM TYPE,Aluminum alloy
47,FRONT RIM DIMENSIONS,12” x MT 3.0 DOT
48,REAR BRAKE,Single disc ø190 mm with single piston caliper
49,REAR RIM TYPE,Aluminum alloy
50,REAR RIM DIMENSIONS,12” x MT 3.5 DOT
51,FRONT TYRE,120/70-ZR12
52,REAR TYRE,130/70 - ZR12
53,FRAME,Trestle in steel tubes
54,FRONT SUSPENSION,Upside-down forks d.41mm
55,FRONT SUSPENSION STROKE,120 mm
56,REAR SUSPENSION,Rear swing arm with lateral shock absorber with spring pre-load adjustment
57,REAR SHOCK ABSORBER STROKE,50 mm
58,FRONT BRAKE,Steel disk ø220 mm with 2 pistons caliper
59,FRONT RIM TYPE,Aluminum alloy
60,FRONT RIM DIMENSIONS,12” x MT 3.0 DOT
61,REAR BRAKE,Single disc ø190 mm with single piston caliper
62,REAR RIM TYPE,Aluminum alloy
63,REAR RIM DIMENSIONS,12” x MT 3.5 DOT
64,FRONT TYRE,120/70-ZR12
65,REAR TYRE,130/70 - ZR12
66,WIDTH EXCLUDING MIRRORS,755 mm
67,GROUND CLEARANCE,160 mm
68,UNLADEN WEIGHT,121 kg
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,"7,2 lt"
72,RESERVE,n.d.
73,WHEELBASE,1215 mm
