,Specs,Infos
0,TYPE,1-cylinder/4-stroke/4-valve
1,DISPLACEMENT,149.5
2,BORE x STROKE,ø57.3x58
3,COMPRESSION RATIO,9.6:1
4,RATED OUTPUT,9.5kW/9000 r/min
5,MAX. TORQUE,9.5N.m/9000 r/min
6,LUBRICATION,Pressure splash lubrication
7,FUEL SUPPLY,EFI
8,EXHAUST SYSTEM,N/A
9,CERTIFICATION,N/A
10,CLUTCH,Wet multi-plate
11,GEARBOX,5-speed
12,FINAL DRIVE,Chain Drive
13,Ignition,TLI
14,Spark plug,N/A
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,N/A
19,CO2 EMISSIONS,N/A
20,TYPE,1-cylinder/4-stroke/4-valve
21,DISPLACEMENT,149.5
22,BORE x STROKE,ø57.3x58
23,COMPRESSION RATIO,9.6:1
24,RATED OUTPUT,9.5kW/9000 r/min
25,MAX. TORQUE,9.5N.m/9000 r/min
26,LUBRICATION,Pressure splash lubrication
27,FUEL SUPPLY,EFI
28,EXHAUST SYSTEM,N/A
29,CERTIFICATION,N/A
30,CLUTCH,Wet multi-plate
31,GEARBOX,5-speed
32,FINAL DRIVE,Chain Drive
33,Ignition,TLI
34,Spark plug,N/A
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,N/A
39,CO2 EMISSIONS,N/A
40,FRAME,Arch bar truck
41,FRONT SUSPENSION,Inverted fork
42,FRONT SUSPENSION STROKE,125 mm
43,REAR SUSPENSION,Steel swingarm with single shock; spring preload adjustability
44,REAR SHOCK ABSORBER STROKE,45mm
45,FRONT BRAKE,Single disc with 2-piston caliper
46,FRONT RIM TYPE,Aluminum Alloy
47,FRONT RIM DIMENSIONS,17-inch
48,REAR BRAKE,Single disc with single-piston caliper
49,REAR RIM TYPE,Aluminum Alloy
50,REAR RIM DIMENSIONS,17-inch
51,FRONT TYRE,100/80-17
52,REAR TYRE,130/70-17
53,FRAME,Arch bar truck
54,FRONT SUSPENSION,Inverted fork
55,FRONT SUSPENSION STROKE,125 mm
56,REAR SUSPENSION,Steel swingarm with single shock; spring preload adjustability
57,REAR SHOCK ABSORBER STROKE,45mm
58,FRONT BRAKE,Single disc with 2-piston caliper
59,FRONT RIM TYPE,Aluminum Alloy
60,FRONT RIM DIMENSIONS,17-inch
61,REAR BRAKE,Single disc with single-piston caliper
62,REAR RIM TYPE,Aluminum Alloy
63,REAR RIM DIMENSIONS,17-inch
64,FRONT TYRE,100/80-17
65,REAR TYRE,130/70-17
66,WIDTH EXCLUDING MIRRORS,810
67,GROUND CLEARANCE,190
68,UNLADEN WEIGHT,144 Kg.
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,150 Kg.
71,USABLE TANK VOLUME,"13,5 L."
72,RESERVE,N/A
73,WHEELBASE,1365
