,Specs,Infos
0,TYPE,"In line 4 cylinders, 4-stroke, liquid cooled, 4 valves per cylinder, DOHC camshaft"
1,DISPLACEMENT,600 c.c.
2,BORE x STROKE,"65 x 45,2 mm"
3,COMPRESSION RATIO,"11,5:1"
4,RATED OUTPUT,60 kW (82 cv) @ 11000 rpm
5,MAX. TORQUE,"56,7 Nm (8,8 kgm) @ 8100 rpm"
6,LUBRICATION,Pressure splash lubrication
7,FUEL SUPPLY,EFI
8,EXHAUST SYSTEM,N/A
9,CERTIFICATION,Euro 3
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,"Chain, ratio 14:46"
13,Ignition,TLI
14,Spark plug,N/A
15,Starting,Electric
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,N/A
19,CO2 EMISSIONS,N/A
20,TYPE,"In line 4 cylinders, 4-stroke, liquid cooled, 4 valves per cylinder, DOHC camshaft"
21,DISPLACEMENT,600 c.c.
22,BORE x STROKE,"65 x 45,2 mm"
23,COMPRESSION RATIO,"11,5:1"
24,RATED OUTPUT,60 kW (82 cv) @ 11000 rpm
25,MAX. TORQUE,"56,7 Nm (8,8 kgm) @ 8100 rpm"
26,LUBRICATION,Pressure splash lubrication
27,FUEL SUPPLY,EFI
28,EXHAUST SYSTEM,N/A
29,CERTIFICATION,Euro 3
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,"Chain, ratio 14:46"
33,Ignition,TLI
34,Spark plug,N/A
35,Starting,Electric
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,N/A
39,CO2 EMISSIONS,N/A
40,FRAME,Bassinet type
41,FRONT SUSPENSION,Telescopic forks
42,FRONT SUSPENSION STROKE,123
43,REAR SUSPENSION,Telescopic coil spring oil damped
44,REAR SHOCK ABSORBER STROKE,44
45,FRONT BRAKE,Dual discs
46,FRONT RIM TYPE,N/A
47,FRONT RIM DIMENSIONS,N/A
48,REAR BRAKE,Disc
49,REAR RIM TYPE,N/A
50,REAR RIM DIMENSIONS,N/A
51,FRONT TYRE,120/70-ZR17 58W
52,REAR TYRE,180/55-ZR17 73W
53,FRAME,Bassinet type
54,FRONT SUSPENSION,Telescopic forks
55,FRONT SUSPENSION STROKE,123
56,REAR SUSPENSION,Telescopic coil spring oil damped
57,REAR SHOCK ABSORBER STROKE,44
58,FRONT BRAKE,Dual discs
59,FRONT RIM TYPE,N/A
60,FRONT RIM DIMENSIONS,N/A
61,REAR BRAKE,Disc
62,REAR RIM TYPE,N/A
63,REAR RIM DIMENSIONS,N/A
64,FRONT TYRE,120/70-ZR17 58W
65,REAR TYRE,180/55-ZR17 73W
66,WIDTH EXCLUDING MIRRORS,840 mm
67,GROUND CLEARANCE,150 mm
68,UNLADEN WEIGHT,223 kg
69,ROAD READY WEIGHT,243 kg
70,PERMITTED TOTAL WEIGHT,443 kg
71,USABLE TANK VOLUME,27 lt
72,RESERVE,5 lt
73,WHEELBASE,1470 mm
