,Specs,Infos
0,TYPE,"In line 2 cylinders, 4-stroke, liquid cooled , 4 valves for cylinder double overhead camshaft"
1,DISPLACEMENT,"499,6 c.c."
2,BORE x STROKE,"69 x 66,8 mm"
3,COMPRESSION RATIO,"11,5:1"
4,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
5,MAX. TORQUE,"45 Nm (4,6 kgm) @ 5000 rpm"
6,LUBRICATION,Wet sump
7,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
8,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
9,CERTIFICATION,Euro 4
10,CLUTCH,Wet clutch
11,GEARBOX,6 speeds
12,FINAL DRIVE,Chain drive
13,Ignition,Delphi MT05
14,Spark plug,NGK CR8E
15,Starting,Elettrico
16,GEAR RATIO,N/A
17,PRIMARY DRIVE,N/A
18,FUEL CONSUMPTION,"3,9 l/100 km"
19,CO2 EMISSIONS,91 g/km
20,TYPE,"In line 2 cylinders, 4-stroke, liquid cooled , 4 valves for cylinder double overhead camshaft"
21,DISPLACEMENT,"499,6 c.c."
22,BORE x STROKE,"69 x 66,8 mm"
23,COMPRESSION RATIO,"11,5:1"
24,RATED OUTPUT,"35 kW (47,6 Cv) @ 8500 rpm"
25,MAX. TORQUE,"45 Nm (4,6 kgm) @ 5000 rpm"
26,LUBRICATION,Wet sump
27,FUEL SUPPLY,Electronic fuel injection with throttle body ø 37 mm
28,EXHAUST SYSTEM,With catalytic converter and oxygen sensors
29,CERTIFICATION,Euro 4
30,CLUTCH,Wet clutch
31,GEARBOX,6 speeds
32,FINAL DRIVE,Chain drive
33,Ignition,Delphi MT05
34,Spark plug,NGK CR8E
35,Starting,Elettrico
36,GEAR RATIO,N/A
37,PRIMARY DRIVE,N/A
38,FUEL CONSUMPTION,"3,9 l/100 km"
39,CO2 EMISSIONS,91 g/km
40,FRAME,Trestle in steel tubes
41,FRONT SUSPENSION,Adjustable Upside-down forks Ø 50mm
42,FRONT SUSPENSION STROKE,135 mm
43,REAR SUSPENSION,Rear swing arm with central shock absorber spring preload adjustable
44,REAR SHOCK ABSORBER STROKE,45 mm
45,FRONT BRAKE,Twin semi floating disk ø320 mm with 4 pistons caliper and ABS
46,FRONT RIM TYPE,Aluminum alloy ( Optional Aluminium rim spoked )
47,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT ( Optional 19”x3.0” )
48,REAR BRAKE,Single disc ø260 mm with single piston calliper and ABS
49,REAR RIM TYPE,Aluminum alloy (Optional Aluminium rim spoked)
50,REAR RIM DIMENSIONS,17” x MT 4.5” DOT (Optional17”x4.25” )
51,FRONT TYRE,120/70-ZR17 (Optional 110/80 – R19)
52,REAR TYRE,160/60 - ZR17 (Optional 150/70 – R17)
53,FRAME,Trestle in steel tubes
54,FRONT SUSPENSION,Adjustable Upside-down forks Ø 50mm
55,FRONT SUSPENSION STROKE,135 mm
56,REAR SUSPENSION,Rear swing arm with central shock absorber spring preload adjustable
57,REAR SHOCK ABSORBER STROKE,45 mm
58,FRONT BRAKE,Twin semi floating disk ø320 mm with 4 pistons caliper and ABS
59,FRONT RIM TYPE,Aluminum alloy ( Optional Aluminium rim spoked )
60,FRONT RIM DIMENSIONS,17” x MT 3.50” DOT ( Optional 19”x3.0” )
61,REAR BRAKE,Single disc ø260 mm with single piston calliper and ABS
62,REAR RIM TYPE,Aluminum alloy (Optional Aluminium rim spoked)
63,REAR RIM DIMENSIONS,17” x MT 4.5” DOT (Optional17”x4.25” )
64,FRONT TYRE,120/70-ZR17 (Optional 110/80 – R19)
65,REAR TYRE,160/60 - ZR17 (Optional 150/70 – R17)
66,WIDTH EXCLUDING MIRRORS,912 mm
67,GROUND CLEARANCE,190 mm ( 240 mm)
68,UNLADEN WEIGHT,213 KG
69,ROAD READY WEIGHT,N/A
70,PERMITTED TOTAL WEIGHT,N/A
71,USABLE TANK VOLUME,20 lt
72,RESERVE,3 lt
73,WHEELBASE,1525 mm
