,Specs,Infos
0,ENGINE TYPE:,"2-cylinder inline,8-valve, Liquid cooled,DOHC, Bosch EFI"
1,CAPACITY: ,400cc
2,BORE & STROKE:,68.4mm x 54.5mm
3,COMPRESSION RATIO:,11.1:1
4,FUEL SYSTEM:,Bosch EFI
5,MAX. POWER OUTPUT:,31.5 kW / 9250 rpm（42hp)
6,MAX. TORQUE:,36.5 N.m / 7500 rpm
7,GEARBOX: ,6-speed
8,FRONT SUSPENSION:,Retractable Telescopic fork
9,REAR SUSPENSION:,Cantilever monoshock with adjustable rebound
10,BRAKES: (ABS model),"Twin Disc 300mm / Rear: Single Disc 240mm, with Continental ABS System"
11,FRONT TYRES/RIMS:,120/70ZR17 / 3.5x17MT rim CST
12,REAR TYRES/RIMS:,160/60ZR17 / 4.5x17MT rim CST
13,LENGTH x WIDTH x HEIGHT:,2110mm x 785mm x 1340mm
14,WHEELBASE:,1415mm
15,SEAT HEIGHT:,795mm
16,MIN. GROUND CLEARANCE:,150mm
17,MIN. TURNING DIAMETER:,5.6m
18,FUEL CAPACITY:,19L
19,CURB WEIGHT:,226kg dry
20,MAX. PAYLOAD CAPACITY:,150kg
21,AVAILABLE COLOURS:,Concept blue/Nebula white
22,PRICE: (Ride away),Undisclosed
