,Specs,Infos
0,ENGINE TYPE:,"2-cylinder inline,8-valve, Liquid cooled,DOHC, Bosch EFI"
1,CAPACITY: ,400.4cc
2,BORE & STROKE:,68.4mm x 54.5mm
3,COMPRESSION RATIO:,11.1:1
4,FUEL SYSTEM:,Bosch EFI
5,MAX. POWER OUTPUT:,31.5 kW / 9500 rpm（42hp)
6,MAX. TORQUE:,35.4 N.m / 7650 rpm
7,GEARBOX: ,6-speed
8,FRONT SUSPENSION:,Telescopic fork
9,REAR SUSPENSION:,Cantilever monoshock with adjustable rebound
10,BRAKES:,Front: Twin Disc 300mm / Rear: Single Disc 220mm
11,BRAKES: (ABS model),"Twin Disc 300mm / Rear: Single Disc 240mm, with Continental ABS System"
12,FRONT TYRES/RIMS:,120/70ZR17 / 3.5x17MT rim CST
13,REAR TYRES/RIMS:,160/60ZR17 / 4.5x17MT rim CST
14,LENGTH x WIDTH x HEIGHT:,2114mm x 757mm x 1100mm
15,WHEELBASE:,1415mm
16,SEAT HEIGHT:,795mm
17,MIN. GROUND CLEARANCE:,150mm
18,MIN. TURNING DIAMETER:,5.4m
19,FUEL CAPACITY:,17L
20,WEIGHT:,193kg dry
21,MAX. PAYLOAD CAPACITY:,150kg
22,AVAILABLE COLOURS:,Monochrome Black & Midnight Black & Teal
23,PRICE: (Ride away),Rs. 841500
