,Specs,Infos
0,ENGINE TYPE:,"2-cylinder inline,4-stroke,Liquid cooled"
1,CAPACITY: ,649.3 cc
2,BORE & STROKE:,83×60 mm(3.3×2.4in)
3,COMPRESSION RATIO:,11.3:1
4,FUEL SYSTEM:,Bosch EFI
5,MAX. POWER OUTPUT:,52.0 kW/8750rpm(71hp/8750rpm)
6,MAX. TORQUE:,62.0 N.m/7000 rpm
7,MAX. SPEED: ,170 km/h
8,IGNITION: ,ECU
9,FRONT SUSPENSION:,Upside Down
10,REAR SUSPENSION:,Cantilever Type
11,BRAKES:,Hydraulic
12,FRONT TYRES/RIMS:,3.50×17 MT aluminium alloy
13,REAR TYRES/RIMS:,4.50×17 MT aluminium alloy
14,Tire Pressure,Front: 120/70Z R17; Rear: 160/60Z R17
15,LENGTH x WIDTH x HEIGHT:,2150×835×1332 mm (85x33x52in)
16,WHEELBASE:,1415 mm (56in)
17,SEAT HEIGHT:,840 mm (33in)
18,MIN. GROUND CLEARANCE:,170 mm (7in)
19,MIN. TURNING DIAMETER:,5.4 m (213in)
20,FUEL CAPACITY:,18L (4.7gal)
21,CURB WEIGHT:,213 kg (468.6lb)
22,MAX. PAYLOAD CAPACITY:,150kg (330lb)
23,AVAILABLE COLOURS:,"Royal Blue, Pearl white"
24,PRICE: (Ride away),Rs. 1750000
