,Specs,Infos
0,ENGINE TYPE:,"Single cylinder, Liquid-cooled, DOHC, BOSCH EFI"
1,DISPLACEMENT,249.2 cc
2,BORE & STROKE:,72 X 51.2
3,COMPRESSION RATIO:,11.3:1
4,FUEL SYSTEM:,EFI
5,MAX. POWER OUTPUT:,19.5Kw/9000r/min
6,MAX. TORQUE:,22 Nm/7500r/min
7,GEARBOX: ,6-speed
8,Ignition: ,ECU
9,FRONT SUSPENSION:,Telescopic
10,REAR SUSPENSION:,"Cantilever,Single"
11,BRAKE:,Hydraulic; Dual Channel ABS
12,RIM:,Front: 3.5MT X 17 ; Rear: 4.0MT X 17
13,TIRE:,Front: 110/70 R17 Rear: 140/60 R17
14,LENGTH x WIDTH x HEIGHT:,1990mm x 780mm x 1070mm
15,WHEELBASE:,1365mm
16,SEAT HEIGHT:,795mm
17,MIN. GROUND CLEARANCE:,150mm
18,FUEL CAPACITY:,12.5L
19,CURB WEIGHT:,151kg
20,MAX. PAYLOAD CAPACITY:,150kg
21,DISPLAY:,TFT
22,RIDING MODES:,Sports/Economic
23,PRICE: (Ride away),Rs. 525500
