,Specs,Infos
0,ENGINE TYPE:,"Single cylinder inline,4-stroke,Air cooled, Vertical"
1,CAPACITY: ,124.5 cc
2,BORE & STROKE:,57.0×8.8 mm(2.2×1.9in)
3,COMPRESSION RATIO:,9.0：1
4,FUEL SYSTEM:,EFI
5,MAX. POWER OUTPUT:,7.0 kW/85000rpm
6,MAX. TORQUE:,8.3 N.m/6500 rpm
7,Maximum Speed,90 km/h
8,Ignition,ECU
9,Transmission,6 speed
10,FRONT SUSPENSION:,Retractable
11,REAR SUSPENSION:,Cantilever Type
12,BRAKES:,Hydraulic
13,RIM:,Front: 2.75×12 MT Light Aiioy/Rear: 3.50×12 MT Light Alloy
14,Tyre pressure,Front: 120/70-12; Rear: 130/70-12
15,LENGTH x WIDTH x HEIGHT:,1724×750×995 mm(68x30x39in)
16,WHEELBASE:,1214 mm(48in)
17,SEAT HEIGHT:,775 mm(31.5in)
18,MIN. GROUND CLEARANCE:,145 mm(5.7in)
19,MIN. TURNING DIAMETER:,3.95 m(155in)
20,FUEL CAPACITY:,7L(1.9gal)
21,CURB WEIGHT:,114 kg(251lb)
22,MAX. PAYLOAD CAPACITY:,"150kg(330lb)
"
23,AVAILABLE COLOURS:,White & Yellow
24,PRICE: (Ride away),Rs. 241500
