,Specs,Infos
0,ENGINE TYPE:,"Single-cylinder,Liquid cooled,4-stroke,SOHC,4-Valve"
1,CAPACITY: ,495cc
2,BORE & STROKE:,91.0mm×76.2mm
3,COMPRESSION RATIO:,10.3:1
4,FUEL SYSTEM:,Bosch EFI
5,MAX. POWER OUTPUT:,28 kW/6800 rpm (OFF-ROAD)
6,MAX. TORQUE:,43N•m/5800 rpm (OFF-ROAD)
7,IGNITION: ,ECU
8,TRANSMISSION: ,CVT
9,SUSPENSIONS:,"Front/Rear: Double arm, independent suspension"
10,DRIVE:,Switchable 2WD/4WD
11,BRAKES:,Front/Rear: Hydraulic
12,Shock Absorber:,"Front/Rear: Gas Spring, Spiral spring oil shock absorber"
13,RIM:,Front: 14 x 7.0 AT Aluminum Alloy/Radials 12 x 6.0 AT Aluminum Alloy/RadialsRear: 14 x 8.0 AT Aluminum Alloy/Radials 12 x 7.5 AT Aluminum Alloy/Radials
14,TIRE:,Front: 25 x 8.00-12; 26 x 9.00-12; 26 x 9.00-14Rear: 25 x 10.00-12; 26 x 11.00-12; 26 x 11.00-14
15,LENGTH x WIDTH x HEIGHT:,2870 x 1510 x 1830mm
16,WHEELBASE:,2040mm
17,SEAT HEIGHT:,395mm
18,MIN. GROUND CLEARANCE:,287mm
19,MIN. TURNING DIAMETER:,5.4m
20,FUEL CAPACITY:,27L
21,CURB WEIGHT:,552kg
22,Minimum Turning Diameter:,9.5m
23,AVAILABLE COLOURS:,"Pearl black,Ferrari red"
24,PRICE: (Ride away),Undisclosed
