,Specs,Details
0,Length,2320 mm
1,Height,1300 mm
2,Ground clearance,330 mm
3,Fuel tank capacity,10 L
4,Max net power,30.15 BHP @ 9000 RPM
5,Stroke,53.6 mm
6,No. of gears,6
7,Gear pattern,1-N-2-3-4-5-6
8,Max speed,
9,Tyre size,3.60-21 (dirt) / 110/70-17 (motard)
10,Tyre size,4.60-18 (dirt) /  140/70-17 (motard)
11,Frame type,Chromoly Frame
12,Front suspension,"Telescopic, cartridge type, compression and rebound adjustable, 12.2 inch travel"
13,Rear suspension,"CNC Linkage, spring preload w/fully adjustable compression rebound, 11.81 inch travel"
14,Headlight,LED
15,Rearlight,LED
16,Turning Light,LED
