,Specs,Details
0,Price,Dirt : NPr. 5,27,000/- Motard : NPr. 5,37,000/-
1,Length,2300 mm
2,Width,830 mm
3,Height,1270 mm
4,Wheelbase,1500 mm
5,Ground clearance,330 mm
6,Dry weight,110 kg
7,Fuel tank capacity,10 L
8,Starting method,Electric & Kick
9,Displacement,249.6 cc
10,Max net power,30.15+bhp
11,Max net torque,23N.M/7000 rpm
12,Compression ratio,11.5:1
13,Stroke,53.6 mm
14,Bore,77 mm
15,No. of gears,6
16,Gear pattern,1-N-2-3-4-5-6
17,Max speed,
18,Tyre size,110/70-17
19,Tyre type,
20,Brake type/size,Single 290mm disc
21,Tyre size,140/60-17
22,Tyre type,
23,Brake type/size,Single 240mm disc
24,Frame type,Twin spar Perimeter
25,Front suspension,"SZC 47mm Inverted with rebound and compression-damping adjustability,251mm travel"
26,Rear suspension,"SZC monoshock with spring preload and rebound -damping adjustability,116mm travel"
27,Headlight,R-Tech V-Face Helogen
28,Rearlight,R-Tech
29,Turning Light,SAE D 00 DOT Standard
