,Specs,Details
0,Price,"6,10,000/-"
1,Length,2320 mm
2,Width,830 mm
3,Height,1300 mm
4,Wheelbase,1500 mm
5,Ground clearance,330 mm
6,Dry weight,109 kg
7,Fuel tank capacity,10 L
8,Starting method,Electric & Kick
9,Displacement,249.6 cc
10,Max net power,30.15 BHP @ 9000 RPM
11,Max net torque,22.5 NM @ 7000 RPM
12,Compression ratio,11:6:1
13,Stroke,53.6 mm
14,Bore,77 mm
15,No. of gears,6
16,Gear pattern,1-N-2-3-4-5-6
17,Max speed,
18,Tyre size,3.60-21 (dirt) / 110/70-17 (motard)
19,Tyre type,Timsun Tyres
20,Brake type/size,Hydraulic Disc 260 mm rotor w/twin piston
21,Tyre size,4.60-18 (dirt) /  140/70-17 (motard)
22,Tyre type,Timsun Tyres
23,Brake type/size,Hydraulic Disc 240 mm rotor single piston
24,Frame type,Chromoly Frame
25,Front suspension,"Telescopic, cartridge type, compression and rebound adjustable, 12.2 inch travel"
26,Rear suspension,"CNC Linkage, spring preload w/fully adjustable compression rebound, 11.81 inch travel"
27,Headlight,LED
28,Rearlight,LED
29,Turning Light,LED
