,Specs,Details
0,Length,2335 mm
1,Width,930 mm
2,Height,1475 mm
3,Wheelbase,1575 mm
4,Ground clearance,250 mm
5,Kerb weight,"232kg (STD), 240kg (DCT)"
6,Fuel tank capacity,18 L
7,Starting method,Self type
8,Displacement,998 cc
9,Max net power,70.0 kW/95 PS @ 7500 rpm
10,Max net torque,98 Nm @ 6000 rpm
11,Compression ratio,10.0:1
12,Stroke,75.1 mm
13,Bore,92.0 mm
14,No. of gears,6
15,Gear pattern,1-N-2-3-4-5-6
16,Max speed,
17,Tyre size,90/90 - 21 M / C 54 H
18,Tyre type,Tube Type
19,Brake type/size,Hydraulic double disc
20,Tyre size,150 / 70R18 M / C70H
21,Tyre type,Tube Type
22,Brake type/size,Hydraulic disc
23,Frame type,Semi Double Cradle
24,Front suspension,Telescopic type
25,Rear suspension,Swing arm type (pro link)
26,Battery,12V 11.2A-h
27,Head lamp,"High 17W X 1, Low 18W X1"
