,Specs,Details
0,Length,2107mm
1,Width,753mm
2,Height,1149mm
3,Wheelbase,1449mm
4,Ground clearance,133mm
5,Kerb weight,215kg
6,Fuel tank capacity,17.3L
7,Starting method,Electric
8,Displacement,648.72cc
9,Max net power,63.6 kW@11000 rpm
10,Max net torque,62.9 Nm@8000 rpm
11,Compression ratio,11.4 : 1
12,Stroke,46 mm
13,Bore,67 mm
14,No. of gears,6
15,Gear pattern,1-N-2-3-4-5-6
16,Max speed,265kmph
17,Tyre size,5 Spoke Aluminium Cast 120/70-17
18,Tyre type,Tubeless
19,Brake type/size,2 x 320mm Disc (ABS)
20,Tyre size,5 Spoke Aluminium Cast 180/55-17 
21,Tyre type,Tubeless
22,Brake type/size,1 x 240mm Disc (ABS)
23,Frame type,Steel Diamond
24,Front suspension,41mm Telescopic Fork
25,Rear suspension,Monoshock with 7-stage spring preload adjustment
26,Battery,8.6 Ah 12V
27,Head lamp,55/55W
