,Specs,Details
0,Length,2007mm
1,Width,762mm
2,Height,1085mm
3,Wheelbase,1266mm
4,Ground clearance,160mm
5,Kerb weight,123kg (CBS)
6,Fuel tank capacity,10.5 L
7,Starting method,Kick & Electric Self Start
8,Displacement,124.73cc
9,Max net power,7.58 kW (10.16 bhp) @ 7500 rpm
10,Max net torque,10.30 Nm @ 5500 rpm
11,Compression ratio,9.2:1
12,Stroke,57.8 mm
13,Bore,52.4mm
14,No. of gears,5 Speed
15,Gear pattern,1-N-2-3-4-5
16,Max speed,93 kmph
17,Tyre size,80/100-18
18,Tyre type,Tubeless
19,Brake type/size,Disc 130mm/Disc 240mm
20,Tyre size,80/100-18
21,Tyre type,Tubeless
22,Brake type/size,Drum 130mm
23,Frame type,Diamond
24,Front suspension,Telescopic
25,Rear suspension,Spring Loaded Hydraulic Type
26,Battery,12V 3Ah (MF)
27,Head lamp,12V 35/35W
