,Specs,Details
0,Price,"Rs. 209,900"
1,Length,2012 mm
2,Width,762 mm
3,Height,1090 mm
4,Wheelbase,1266 mm
5,Ground clearance,157 mm
6,Kerb weight,123 kg
7,Fuel tank capacity,10.5 L
8,Starting method,Kick/Self
9,Displacement,124.7 cc
10,Max net power,7.88 kW (10.57 bhp) @ 7500 rpm
11,Max net torque,10.30 Nm @ 5500 rpm
12,Compression ratio,9.2:1
13,Stroke,57.8 mm
14,Bore,52.4 mm
15,No. of gears,4
16,Gear pattern,N-1-2-3-4
17,Max speed,93 kmph
18,Tyre size,80/100-18
19,Tyre type,Tubeless
20,Brake type/size,Drum 130mm/Disc 240mm
21,Tyre size,80/100-18
22,Tyre type,Tubeless
23,Brake type/size,Drum 130mm
24,Frame type,Diamond
25,Front suspension,Telescopic
26,Rear suspension,Spring loaded hydraulic type
27,Battery,12V 3Ah (MF)
28,Head lamp,12V 35/35W
