,Specs,Details
0,Price,"Rs. 231,900"
1,Length,2007mm
2,Width,762mm
3,Height,1085mm
4,Wheelbase,1266mm
5,Ground clearance,160mm
6,Kerb weight,123kg (CBS)
7,Fuel tank capacity,10.5 L
8,Starting method,Kick & Electric Self Start
9,Displacement,124.73cc
10,Max net power,7.58 kW (10.16 bhp) @ 7500 rpm
11,Max net torque,10.30 Nm @ 5500 rpm
12,Compression ratio,9.2:1
13,Stroke,57.8 mm
14,Bore,52.4mm
15,No. of gears,5 Speed
16,Gear pattern,1-N-2-3-4-5
17,Max speed,93 kmph
18,Tyre size,80/100-18
19,Tyre type,Tubeless
20,Brake type/size,Disc 130mm/Disc 240mm
21,Tyre size,80/100-18
22,Tyre type,Tubeless
23,Brake type/size,Drum 130mm
24,Frame type,Diamond
25,Front suspension,Telescopic
26,Rear suspension,Spring Loaded Hydraulic Type
27,Battery,12V 3Ah (MF)
28,Head lamp,12V 35/35W
