,Specs,Details
0,Length,2009 mm
1,Width,737 mm
2,Height,1074 mm
3,Wheelbase,1258 mm
4,Ground clearance,179 mm
5,Kerb weight,107 kg
6,Fuel tank capacity,8 L
7,Starting method,Self / Kick
8,Displacement,109.19 cc
9,Max net power,8.25 Bhp @ 7500 rpm
10,Max net torque,8.63 Nm @ 5500rpm
11,Compression ratio,9.9:1
12,Stroke,55.6 mm
13,Bore,50 mm
14,No. of gears,4
15,Gear pattern,N-1-2-3-4
16,Max speed,86 Kmph
17,Tyre size,80/100-18
18,Tyre type,Tubeless
19,Brake type/size,130 mm Drum
20,Tyre size,80/100-18
21,Tyre type,Tubeless
22,Brake type/size,130 mm Drum
23,Frame type,Diamond
24,Front suspension,Telescopic Fork
25,Rear suspension,Spring loaded hydraulic
26,Battery,12V 3Ah (MF)
27,Head lamp,12V 35/35W
