,Specs,Details
0,Price,"Rs. 184,900"
1,Length,2009 mm
2,Width,737 mm
3,Height,1074 mm
4,Wheelbase,1258 mm
5,Ground clearance,179 mm
6,Kerb weight,107 kg
7,Fuel tank capacity,8 L
8,Starting method,Self / Kick
9,Displacement,109.19 cc
10,Max net power,8.25 Bhp @ 7500 rpm
11,Max net torque,8.63 Nm @ 5500rpm
12,Compression ratio,9.9:1
13,Stroke,55.6 mm
14,Bore,50 mm
15,No. of gears,4
16,Gear pattern,N-1-2-3-4
17,Max speed,86 Kmph
18,Tyre size,80/100-18
19,Tyre type,Tubeless
20,Brake type/size,130 mm Drum
21,Tyre size,80/100-18
22,Tyre type,Tubeless
23,Brake type/size,130 mm Drum
24,Frame type,Diamond
25,Front suspension,Telescopic Fork
26,Rear suspension,Spring loaded hydraulic
27,Battery,12V 3Ah (MF)
28,Head lamp,12V 35/35W
