,Specs,Details
0,Length,2195mm
1,Width,2195mm
2,Height,1195mm
3,Wheelbase,1429mm
4,Ground clearance,211mm
5,Kerb weight,146kg
6,Fuel tank capacity,7.8L
7,Starting method,Self-starter
8,Displacement,249.6cc
9,Max net power,24 HP (18.2kW) @ 8500rpm
10,Max net torque,16.7 ft/lb TQ (22.6Nm) @ 6750rpm
11,Compression ratio,10.7:1
12,Stroke,55.0(mm)
13,Bore,76.0(mm)
14,No. of gears,6
15,Gear pattern,1-N-2-3-4-5-6
16,Max speed,
17,Tyre size,21 inch
18,Tyre type,
19,Brake type/size,Dual - Piston Disc Brakes
20,Tyre size,18 inch
21,Tyre type,
22,Brake type/size,Masks Single - Piston Brakes
23,Frame type,Steel Twin Tube
24,Front suspension,43mm Telescopic Upsidedown
25,Rear suspension,Prolink
26,Battery,12V-7AH
27,Head lamp,Bulb
