,Specs,Details
0,Length,2210 mm
1,Width,900 mm
2,Height,1425 mm
3,Wheelbase,1455 mm
4,Ground clearance,270 mm
5,Kerb weight,155 kg
6,Fuel tank capacity,10.1 L
7,Starting method,Electric
8,Displacement,249.6 cc
9,Max net power,18.2 kW @ 8500 rpm
10,Max net torque,22.6 Nm @ 6750 rpm
11,Compression ratio,10.7:1
12,Stroke,55.0 mm
13,Bore,76.0 mm
14,No. of gears,6
15,Gear pattern,1-N-2-3-4-5-6
16,Max speed,
17,Tyre size,3.00-21 51P
18,Tyre type,
19,Brake type/size,256mm Floating Wave Disk with Dual-Piston Calipers
20,Tyre size,120/80-18M/C 62P
21,Tyre type,
22,Brake type/size,220mm Wave Disk with Single-Piston Caliper
23,Frame type,Steel Twin Tube
24,Front suspension,"43mm Showa Inverted Fork, 250mm Stroke"
25,Rear suspension,"Pro-link 265 axle stroke, Showa Single Tube 40mm"
26,Battery,12V-7AH
27,Head lamp,LED
