,Specs,Details
0,Price,"Rs. 1,325,000"
1,Length,2210 mm
2,Width,900 mm
3,Height,1425 mm
4,Wheelbase,1455 mm
5,Ground clearance,270 mm
6,Kerb weight,155 kg
7,Fuel tank capacity,10.1 L
8,Starting method,Electric
9,Displacement,249.6 cc
10,Max net power,18.2 kW @ 8500 rpm
11,Max net torque,22.6 Nm @ 6750 rpm
12,Compression ratio,10.7:1
13,Stroke,55.0 mm
14,Bore,76.0 mm
15,No. of gears,6
16,Gear pattern,1-N-2-3-4-5-6
17,Max speed,
18,Tyre size,3.00-21 51P
19,Tyre type,
20,Brake type/size,256mm Floating Wave Disk with Dual-Piston Calipers
21,Tyre size,120/80-18M/C 62P
22,Tyre type,
23,Brake type/size,220mm Wave Disk with Single-Piston Caliper
24,Frame type,Steel Twin Tube
25,Front suspension,"43mm Showa Inverted Fork, 250mm Stroke"
26,Rear suspension,"Pro-link 265 axle stroke, Showa Single Tube 40mm"
27,Battery,12V-7AH
28,Head lamp,LED
