,Specs,Details
0,Length,2041 mm
1,Width,783 mm
2,Height,1091 mm
3,Wheelbase,1346 mm
4,Ground clearance,164 mm
5,Kerb weight,138 (STD) / 140 (CBS)
6,Fuel tank capacity,12 L
7,Starting method,Self/Kick
8,Displacement,"162.71 cc, Air-cooled BSIV"
9,Max net power,11.1 kW @8500 rpm
10,Max net torque,14.5 Nm @ 6500 rpm
11,Compression ratio,10:01
12,Stroke,63.09 mm
13,Bore,57.30 mm
14,No. of gears,5
15,Gear pattern,1-N-2-3-4-5
16,Max speed,110 kmph
17,Tyre size,100/80-17
18,Tyre type,Tubeless
19,Brake type/size,Disc 276 mm
20,Tyre size,140/70-17
21,Tyre type,Tubeless
22,Brake type/size,Drum 130 mm / Disc 220 mm (CBS)
23,Frame type,Diamond
24,Front suspension,Telescopic
25,Rear suspension,Monoshock
26,Battery,
27,Head lamp,
