,Specs,Details
0,Price,"Rs. 294,900"
1,Length,2013 mm
2,Width,786 mm
3,Height,1115 mm
4,Wheelbase,1347 mm
5,Ground clearance,160 mm
6,Kerb weight,140 kg
7,Fuel tank capacity,12 L
8,Starting method,Self / Kick
9,Displacement,"162.71cc, Air Cooled, 4 Stroke, BS-IV Engine"
10,Max net power,10.39 kW (13.93 bhp) @ 8500 rpm
11,Max net torque,13.9 Nm @ 6000 rpm
12,Compression ratio,10:01
13,Stroke,63.096 mm
14,Bore,57.3 mm
15,No. of gears,5
16,Gear pattern,1-N-2-3-4-5
17,Max speed,
18,Tyre size,80/100-17
19,Tyre type,Tubeless
20,Brake type/size,Disc 276 mm
21,Tyre size,130/70-17
22,Tyre type,Tubeless
23,Brake type/size,Drum 130 mm
24,Frame type,Diamond
25,Front suspension,Telescopic
26,Rear suspension,Monoshock
27,Battery,12V 4Ah (MF)
28,Head lamp,LED
