,Specs,Details
0,Price,"Rs. 624,900"
1,Length,2075 mm
2,Width,812 mm
3,Height,1124 mm
4,Wheelbase,1351 mm
5,Ground clearance,245 mm
6,Kerb weight,123kg
7,Fuel tank capacity,12L 
8,Starting method,Electric & Back Up Kick
9,Displacement,"184.4cc, Air Cooled Single Cylinder SOHC"
10,Max net power,15.6 HP@8500 rpm
11,Max net torque,15.7 Nm@6000 rpm
12,Compression ratio,9.5:1
13,Stroke,63.1 mm
14,Bore,61.0 mm
15,No. of gears,5
16,Gear pattern,1-N-2-3-4-5
17,Max speed,
18,Tyre size,90/90 (19-inch)
19,Tyre type,
20,Brake type/size,240mm Hydraulic Disc with Dual Piston Calliper
21,Tyre size,110/90 (17-inch)
22,Tyre type,
23,Brake type/size,"110mm, Leading/Trailing Drum"
24,Frame type,Steel Twin Tube
25,Front suspension,"Telescopic Fork, 161mm Axle Travel"
26,Rear suspension,"Mono Shock Swing Arm, 151mm Axle Travel"
27,Battery,
28,Head lamp,
