,Specs,Details
0,Length,1814 mm
1,Width,704 mm
2,Height,1151 mm
3,Wheelbase,1260 mm
4,Ground clearance,155 mm
5,Kerb weight,110 kg
6,Fuel tank capacity,5.3 L
7,Starting method,Kick/self
8,Displacement,124.9 cc
9,Max net power,8.6 Bhp @ 6500 rpm
10,Max net torque,10.12 Nm @ 5500 rpm
11,Compression ratio,9.8:1
12,Stroke,57.9 mm
13,Bore,52.4 mm
14,No. of gears,Automatic Transmission (AT)
15,Gear pattern,N/A
16,Max speed,85 kmph
17,Tyre size,90/90-12
18,Tyre type,Tubeless
19,Brake type/size,130 mm Drum
20,Tyre size,90/100-10
21,Tyre type,Tubeless
22,Brake type/size,130 mm Drum 
23,Frame type,Under bone
24,Front suspension,Telescopic
25,Rear suspension,Spring Loaded Hydraulic
26,Battery,12V 3Ah (MF)
27,Head lamp,12V 35/35W
