,Specs,Details
0,Length,1802 mm
1,Width,703 mm
2,Height,1162 mm
3,Wheelbase,1256 mm
4,Ground clearance,145 mm
5,Kerb weight,109 Kg
6,Fuel tank capacity,6 L
7,Starting method,Kick/self
8,Displacement,109.19cc
9,Max net power,5.89 kW (8bhp) @7000 rpm
10,Max net torque,8.77 Nm @ 5500 rpm
11,Compression ratio,9.5:1
12,Stroke,55.6 mm
13,Bore,50 mm
14,No. of gears,Automatic Transmission (AT)
15,Gear pattern,N/A
16,Max speed,83 kmph
17,Tyre size,90/90-12 
18,Tyre type,Tubeless
19,Brake type/size,Drum 130mm
20,Tyre size,90/100-10 
21,Tyre type,Tubeless
22,Brake type/size,Drum 130mm 
23,Frame type,Under bone
24,Front suspension,Telescopic
25,Rear suspension,Spring loaded hydraulic type
26,Battery,12V 3Ah (MF)
27,Head lamp,12V 35/35W
