,Specs,Details
0,Length,1781 mm
1,Width,710 mm
2,Height,1133 mm
3,Wheelbase,1238 mm 
4,Ground clearance,158 mm
5,Kerb weight,105 kg
6,Fuel tank capacity,5.3 L
7,Starting method,Kick/self
8,Displacement,109.20 cc
9,Max net power,5.89 kW (8bhp) @7000 rpm
10,Max net torque,8.77 Nm @ 5500 rpm
11,Compression ratio,9.5:1
12,Stroke,55.6 mm
13,Bore,50 mm 
14,No. of gears,Automatic Transmission (AT)
15,Gear pattern,N/A
16,Max speed,83 kmph
17,Tyre size,90/100-10
18,Tyre type,Tubeless tyre
19,Brake type/size,Drum 130 mm
20,Tyre size,90/100-10
21,Tyre type,Tubeless tyre
22,Brake type/size,Drum 130 mm (CBS)
23,Frame type,Under bone
24,Front suspension,Spring loaded hydraulic type
25,Rear suspension,Spring loaded hydraulic type
26,Battery,12V 3Ah (MF)
27,Head lamp,12V 35/35W
