,Specs,Details
0,Price,"Rs. 212,900"
1,Length,1781 mm
2,Width,710 mm
3,Height,1133 mm
4,Wheelbase,1238 mm 
5,Ground clearance,158 mm
6,Kerb weight,105 kg
7,Fuel tank capacity,5.3 L
8,Starting method,Kick/self
9,Displacement,109.20 cc
10,Max net power,5.89 kW (8bhp) @7000 rpm
11,Max net torque,8.77 Nm @ 5500 rpm
12,Compression ratio,9.5:1
13,Stroke,55.6 mm
14,Bore,50 mm 
15,No. of gears,Automatic Transmission (AT)
16,Gear pattern,N/A
17,Max speed,83 kmph
18,Tyre size,90/100-10
19,Tyre type,Tubeless tyre
20,Brake type/size,Drum 130 mm
21,Tyre size,90/100-10
22,Tyre type,Tubeless tyre
23,Brake type/size,Drum 130 mm (CBS)
24,Frame type,Under bone
25,Front suspension,Spring loaded hydraulic type
26,Rear suspension,Spring loaded hydraulic type
27,Battery,12V 3Ah (MF)
28,Head lamp,12V 35/35W
