,Specs,Details
0,Price,"Rs. 219,900"
1,Length,1812mm
2,Width,697mm
3,Height,NA
4,Wheelbase,1260mm
5,Ground clearance,155mm
6,Kerb weight,107kg (DLX)
7,Fuel tank capacity,5.3L
8,Starting method,Kick/Self
9,Displacement,"124.9cc, Fan cooled, 4 stroke, SI Engine"
10,Max net power,8.52 BHP @ 6500 rpm
11,Max net torque,10.54 Nm @ 5000 rpm
12,Compression ratio,9.8:1
13,Stroke,57.9mm
14,Bore,52.4mm
15,No. of gears,NA
16,Gear pattern,NA
17,Max speed,85 kmph
18,Tyre size,90/90-12
19,Tyre type,Tubeless
20,Brake type/size,Disc 190mm / Drum 130mm
21,Tyre size,90/100-10
22,Tyre type,Tubeless
23,Brake type/size,Drum 130 mm (CBS)
24,Frame type,Under Bone
25,Front suspension,Telescopic 
26,Rear suspension,Spring Loaded Hydraulic Type
27,Battery,12V 3Ah (MF)
28,Head lamp,LED
