,Specs,Details
0,Length,1805 mm
1,Width,748 mm
2,Height,1039 mm
3,Wheelbase,1286 mm
4,Ground clearance,156 mm
5,Kerb weight,101 kg
6,Fuel tank capacity,3.8 L
7,Starting method,Self and Kick
8,Displacement,109.19 cc
9,Max net power,5.84 kW @ 7000 rpm
10,Max net torque,8.96 Nm @ 5500 rpm
11,Compression ratio,9.5 :1
12,Stroke,55.6 mm
13,Bore,50.0 mm
14,No. of gears,Automatic Transmission (AT)
15,Gear pattern,N/A
16,Max speed,81 km/h
17,Tyre size,90/90-12 54J
18,Tyre type,Tubeless 
19,Brake type/size,Drum 130 mm
20,Tyre size,90/100-10 53J
21,Tyre type,Tubeless 
22,Brake type/size,Drum 130 mm
23,Frame type,Under Bone Type
24,Front suspension,Telescopic
25,Rear suspension,Spring Loaded Hydraulic Type
26,Battery,"12 V, 3 A-h (MF)"
27,Head lamp,35 W
