,Specs,Details
0,Displacement,249cc
1,Max Power,20.8 Ps (15.3 kw)/8000 Rpm
2,Maximum Torque,20.1 N.m(2.0kgfm)/6000 rpm
3,Bore,74.0mm
4,Stroke,58.0 mm
5,Valves Per Cylinder,2 valve
6,Compression Ratio,9.8:1
7,Fuel Delivery System,Fuel injection
8,Transmission Type,"Constant mesh, 5-speed"
9,Clutch,"Wet, multiple disc"
10,Front Brake Type,Hydraulic single disc brake
11,Front Brake Size,282mm
12,Rear Brake Type,Hydraulic single disc brake
13,Rear Brake Size,220mm
14,Front Tyre Size,100/ 80-17M / C (52P)
15,Rear Tyre Size,140 / 70-17M / C (66S)
16,Tyre Type,Tubeless
17,Front Suspension,Telescopic
18,Rear Suspension,Adjustable monocross suspension
19,Kerb Weight,152 kg
20,Wheelbase,1360 mm
21,Ground Clearance,160 mm
22,Seat Height,795 mm
23,Chassis Type,Diamond
24,Fuel Tank Capacity,14L
25,Speedometer,Digital
26,Fuel Guage,Digital
27,Low Fuel Indicator,Equipped
28,Headlight Type,LED
29,Brake/Tail Light,LED
30,Turn Signal,"12V,10W x 2"
