,Specs,Details
0,Price,"₨429,900"
1,Displacement,249cc
2,Cylinders,Single cylinder
3,Max Power,20.8 Ps (15.3 kw)/8000 Rpm
4,Maximum Torque,20.1 N.m(2.0kgfm)/6000 rpm
5,Bore,74.0mm
6,Stroke,58.0mm
7,Valves Per Cylinder,2-valve
8,Compression Ratio,9.8:1
9,Fuel Delivery System,Fuel injection
10,Transmission Type,"Constant mesh, 5-speed"
11,Clutch,"Wet, multiple disc"
12,Front Brake Type,Hydraulic single disc brake
13,Front Brake Size,282mm
14,Rear Brake Type,Hydraulic single disc brake
15,Rear Brake Size,220mm
16,Front Tyre Size,100/80-17M/C 52P
17,Rear Tyre Size,140/70-17M/C 66S
18,Tyre Type,Tubeless
19,Front Suspension,Telescopic fork
20,Rear Suspension,Adjustable monocross suspension
21,Kerb Weight,148kg
22,Wheelbase,1360mm
23,Ground Clearance,160 mm
24,Seat Height,795mm
25,Chassis Type,Diamond
26,Fuel Tank Capacity,14L
27,Speedometer,Digital
28,Fuel Guage,Digital
29,Low Fuel Indicator,Equipped
30,Headlight Type,LED
31,Brake/Tail Light,LED
32,Turn Signal,"12V,10W x 2"
