,Specs,Details
0,Price,"₨319,900"
1,Displacement,149cc
2,Cylinders,Single Cylinder
3,Max Power,"9.7 kW (13.2PS) / 8,000 r/min"
4,Maximum Torque,"12.8 N.m (1.3 kg f.m) / 6,000 r/min"
5,Bore,57.3mm
6,Stroke,57.9mm
7,Valves Per Cylinder,2-valve
8,Compression Ratio,9.5:1
9,Fuel Delivery System,Fuel injection
10,Ignition,TCI (Transistor controlled ignition)
11,Transmission Type,"Constant mesh, 5-speed"
12,Clutch,"Wet, multiple disc"
13,Front Brake Type,ABS
14,Rear Brake Type,Disc Brake
15,Front Tyre Size,100/80-17M/C 52P
16,Rear Tyre Size,140/60R17M/C 63P
17,Tyre Type,Tubless
18,Front Suspension,Telescopic fork
19,Rear Suspension,Adjustable Monocross suspension
20,Kerb Weight,137 kg
21,Overall Length,"1,990mm"
22,Overall Width,780mm
23,Overall Height,"1,080mm"
24,Wheelbase,1330mm
25,Ground Clearance,165 mm
26,Seat Height,790 mm
27,Chassis Type,Diamond
28,Fuel Tank Capacity,12.8 L
29,Reserve Fuel Capacity,1.20 L
30,Speedometer,Digital
31,Fuel Guage,Digital
32,Low Fuel Indicator,Equipped
33,Start Type,Electric Starter
34,Headlight Type,LED
35,Brake/Tail Light,"12V,21/5W x 1"
36,Turn Signal,"12V, 10W x 2"
