,Specs,Details
0,Price,"₨429,900"
1,Displacement,155 cm3
2,Max Power,13.6 Kw (18.5ps)/10000 Rpm
3,Maximum Torque,13.9 N.m(1.4 kgfm)/8500 rpm
4,Bore,58.0 mm
5,Stroke,58.7 mm
6,Valves Per Cylinder,4-valve
7,Compression Ratio,11.6:1
8,Fuel Delivery System,Fuel Injection
9,Ignition,TCI (Transistor controlled ignition)
10,No. of Gears,6
11,Transmission Type,"Constant mesh, 6-speed"
12,Clutch,Wet Multiple-disc
13,Front Brake Type,Hydraulic single disc (ABS)
14,Front Brake Size,282mm
15,Rear Brake Type,Hydraulic single disc
16,Rear Brake Size,220mm
17,Front Tyre Size,100/80-17M/C 52P
18,Rear Tyre Size,140/70-17M/C 66H
19,Tyre Type,Tubeless
20,Front Suspension,Telescopic fork
21,Rear Suspension,"Swingarm, (Link suspension)"
22,Kerb Weight,138 kg
23,Overall Length,"2,020 mm"
24,Overall Width,800 mm
25,Overall Height,"1,070 mm"
26,Wheelbase,"1,335 mm"
27,Ground Clearance,170 mm
28,Seat Height,810 mm
29,Chassis Type,Deltabox
30,Fuel Tank Capacity,10L/2.6usgal/2.2Imp.gal
31,Reserve Fuel Capacity,"1.05 L (1.11 US qt, 0.92 Imp.qt)"
32,Speedometer,Digital
33,Fuel Guage,Digital
34,Start Type,Electric
35,Battery,"ETZ-5, 12V,4.0Ah(10HR)"
36,Headlight Type,LED
37,Brake/Tail Light,LED
38,Turn Signal,"12V, 10W×2"
