,Specs,Details
0,Displacement,155cc
1,Max Power,"14.2kW (19.3PS) @ 10,000 rpm"
2,Maximum Torque,20.0N.m/6000rpm
3,Bore,58.0 mm
4,Stroke,58.7 mm
5,Valves Per Cylinder,4-valve
6,Compression Ratio,11.6:1
7,Fuel Delivery System,Fuel Injection
8,Ignition,TCI (Transistor controlled ignition)
9,No. of Gears,6
10,Transmission Type,"Constant mesh, 6-speed"
11,Clutch,"Wet, multiple disc"
12,Front Brake Type,Hydraulic single disc brake
13,Front Brake Size,282 mm
14,Rear Brake Type,Hydraulic single disc brake
15,Rear Brake Size,220 mm
16,Front Tyre Size,MRF/NYLOGRIP ZAPPER-FX1 100/80-17M/C 52P
17,Rear Tyre Size,MRF/NYLOGRIP ZAPPER-S 140/70-17M/C 66H
18,Tyre Type,Tubeless
19,Front Suspension,Telescopic fork
20,Rear Suspension,Monocross Link suspension
21,Kerb Weight,142 kg
22,Wheelbase,"1,325 mm"
23,Ground Clearance,170 mm
24,Seat Height,815 mm
25,Chassis Type,Deltabox
26,Fuel Tank Capacity,11 L
27,Reserve Fuel Capacity,1.05 L
28,Speedometer,Digital
29,Fuel Guage,Digital
30,Start Type,Electric Start
31,Battery,"ETZ-5, 12 V, 4.0 Ah(10 HR)"
32,Headlight Type,LED
33,Brake/Tail Light,LED
34,Turn Signal,"12V, 10W×2"
