,Specs,Details
0,Price,"₨464,900"
1,Displacement,155cc
2,Max Power,"14.2kW (19.3PS) @ 10,000 rpm"
3,Maximum Torque,20.0N.m/6000rpm
4,Bore,58.0 mm
5,Stroke,58.7 mm
6,Valves Per Cylinder,4-valve
7,Compression Ratio,11.6:1
8,Fuel Delivery System,Fuel Injection
9,Ignition,TCI (Transistor controlled ignition)
10,No. of Gears,6
11,Transmission Type,"Constant mesh, 6-speed"
12,Clutch,"Wet, multiple disc"
13,Front Brake Type,Hydraulic single disc brake
14,Front Brake Size,282 mm
15,Rear Brake Type,Hydraulic single disc brake
16,Rear Brake Size,220 mm
17,Front Tyre Size,MRF/NYLOGRIP ZAPPER-FX1 100/80-17M/C 52P
18,Rear Tyre Size,MRF/NYLOGRIP ZAPPER-S 140/70-17M/C 66H
19,Tyre Type,Tubeless
20,Front Suspension,Telescopic fork
21,Rear Suspension,Monocross Link suspension
22,Kerb Weight,142 kg
23,Wheelbase,"1,325 mm"
24,Ground Clearance,170 mm
25,Seat Height,815 mm
26,Chassis Type,Deltabox
27,Fuel Tank Capacity,11 L
28,Reserve Fuel Capacity,1.05 L
29,Speedometer,Digital
30,Fuel Guage,Digital
31,Start Type,Electric Start
32,Battery,"ETZ-5, 12 V, 4.0 Ah(10 HR)"
33,Headlight Type,LED
34,Brake/Tail Light,LED
35,Turn Signal,"12V, 10W×2"
