,Specs,Details
0,Price,"₨924,900"
1,Displacement,321 cc
2,Max Power,"30.9 kW (42.0 PS) @ 10,750 rpm"
3,Maximum Torque,"29.6 N.m (3.0 kgfm) @ 9,000 rpm"
4,Bore,68.0 mm
5,Stroke,44.1 mm
6,Valves Per Cylinder,4-valve
7,Compression Ratio,11.2:1
8,Fuel Delivery System,Fuel Injection
9,Ignition,TCI (Transistor controlled ignition)
10,No. of Gears,6
11,Transmission Type,"Constant Mesh, 6-speed"
12,Clutch,"Wet, multiple-disc"
13,Front Brake Type,Hydraulic single disc
14,Front Brake Size,298 mm
15,Rear Brake Type,Hydraulic single disc brake
16,Rear Brake Size,220 mm
17,Front Tyre Size,METZELER / SPORTEC M5 INTERACT 110/70R-17M/C 54H
18,Rear Tyre Size,METZELER / SPORTEC M5 INTERACT 140/70R-17M/C 66H
19,Tyre Type,Tubeless
20,Front Suspension,Telescopic fork
21,Rear Suspension,Swingarm
22,Kerb Weight,173 kg (including full oil and fuel tank)
23,Overall Length,"2,090 cm"
24,Overall Width,720 cm
25,Overall Height,"1,135 cm"
26,Wheelbase,"1,380 mm"
27,Ground Clearance,160 mm
28,Seat Height,780 mm
29,Chassis Type,Diamond
30,Fuel Tank Capacity,14.0 L
31,Braking System,ABS
32,Speedometer,Digital
33,Fuel Guage,Digital
34,Start Type,Electric Start
35,Battery,"GTZ8V, 12V, 7.0Ah (10HR)"
36,Headlight Type,Halogen Bulb
37,Brake/Tail Light,LED
38,Turn Signal,"12V, 10W x 2"
