,Specs,Details
0,Price,"₨211,900"
1,Displacement,125cc
2,Cylinders,Single Cylinder
3,Max Power,6.1kW(8.3PS)/7000r/min
4,Maximum Torque,10.1N・m(1.0kgf・m)/4500r/min
5,Bore,52.4mm
6,Stroke,57.9mm
7,Valves Per Cylinder,2-valve
8,Compression Ratio,10.0:1
9,Fuel Delivery System,Carburetor
10,Ignition,CDI (capacitor discharge ignition)
11,Transmission Type,"Constant mesh, 4-speed"
12,Clutch,"Wet, multiple disc"
13,Front Brake Type,Disc
14,Front Brake Size,245 mm
15,Rear Brake Type,Drum
16,Front Tyre Size,80/100-18 47P
17,Rear Tyre Size,80/100-18 54P
18,Tyre Type,Tubless
19,Front Suspension,Telescopic fork
20,Rear Suspension,Swingarm
21,Kerb Weight,114 kg
22,Overall Length,"2,035mm"
23,Overall Width,730m
24,Overall Height,"1,095mm"
25,Wheelbase,"1,265 mm"
26,Ground Clearance,180 mm
27,Seat Height,805 mm
28,Chassis Type,Diamond
29,Fuel Tank Capacity,7.6L
30,Reserve Fuel Capacity,1.10L
31,Braking System,Unified Braking System
32,Start Type,Electric start & Kick start
33,Battery,"AB5L-B / 12MX5L-B, 12V, 5.0 Ah (10HR)"
34,Headlight Type,"12V,35/35W x 1"
35,Turn Signal,"12V, 10W x 2"
