,Specs,Details
0,Displacement,125cc
1,Max Power,6.0kW(8.2PS)/6500r/min
2,Maximum Torque,9.7N.m(1.0kgf.m)/5000r/min
3,Bore,52.4mm
4,Stroke,57.9mm
5,Compression Ratio,10.2:1
6,Fuel Delivery System,Fuel injection
7,Ignition,TCI(Transistor Controlled Ignition)
8,Cooling System,Air Cooled
9,Transmission Type,V-belt automatic
10,Front Brake Type,Disc
11,Rear Brake Type,Drum
12,Front Tyre Size,90/90-12
13,Rear Tyre Size,110/90-10
14,Tyre Type,Tubeless
15,Front Suspension,Telescopic fork
16,Rear Suspension,Unit Swing
17,Kerb Weight,99kg
18,Overall Length,1920 mm
19,Overall Width,685 mm
20,Overall Height,1150 mm
21,Wheelbase,1280 mm
22,Ground Clearance,145 mm
23,Seat Height,780 mm
24,Fuel Tank Capacity,5.2 L
25,Start Type,Electric starter and kick starter
26,Battery,"Maintenance free - 12V,5.0 Ah"
27,Headlight Type,"12V,35/35W x 1"
28,Brake/Tail Light,"12V,21/5W x 1"
