,Specs,Details
0,Price,"₨247,900"
1,Displacement,125cc
2,Max Power,6.0kW(8.2PS)/6500r/min
3,Maximum Torque,9.7N.m(1.0kgf.m)/5000r/min
4,Bore,52.4mm
5,Stroke,57.9mm
6,Compression Ratio,10.2:1
7,Fuel Delivery System,Fuel injection
8,Ignition,TCI(Transistor Controlled Ignition)
9,Cooling System,Air Cooled
10,Transmission Type,V-belt automatic
11,Front Brake Type,Disc
12,Rear Brake Type,Drum
13,Front Tyre Size,90/90-12
14,Rear Tyre Size,110/90-10
15,Tyre Type,Tubeless
16,Front Suspension,Telescopic fork
17,Rear Suspension,Unit Swing
18,Kerb Weight,99kg
19,Overall Length,1920 mm
20,Overall Width,685 mm
21,Overall Height,1150 mm
22,Wheelbase,1280 mm
23,Ground Clearance,145 mm
24,Seat Height,780 mm
25,Fuel Tank Capacity,5.2 L
26,Start Type,Electric starter and kick starter
27,Battery,"Maintenance free - 12V,5.0 Ah"
28,Headlight Type,"12V,35/35W x 1"
29,Brake/Tail Light,"12V,21/5W x 1"
