,Specs,Details
0,Displacement,155cc
1,Cylinders,Single cylinder
2,Max Power,"11.1 kW @ 8,000 rpm"
3,Maximum Torque,"14.4 Nm @ 6,000 rpm"
4,Bore,58.0 mm
5,Stroke,58.7 mm
6,Valves Per Cylinder,4-valves
7,Compression Ratio,10.5: 1
8,Fuel Delivery System,Fuel Injection
9,Ignition,TCI
10,Cooling System,liquid-cooled
11,Front Brake Type,Hydraulic single disc
12,Front Brake Size,230 mm
13,Rear Brake Type,Hydraulic single disc
14,Rear Brake Size,230 mm
15,Front Tyre Size,110/70-13
16,Rear Tyre Size,130/70-13
17,Front Suspension,Telescopic fork
18,Rear Suspension,Unit Swing
19,Kerb Weight,127 kg
20,Overall Length,"1,955 mm"
21,Overall Width,740 mm
22,Overall Height,"1,115 mm"
23,Wheelbase,"1,350 mm"
24,Ground Clearance,135 mm
25,Seat Height,765 mm
26,Fuel Tank Capacity,6.6litre
27,Start Type,Electric
