,Specs,Details
0,Price,"₨459,900"
1,Displacement,155cc
2,Cylinders,Single cylinder
3,Max Power,"11.1 kW @ 8,000 rpm"
4,Maximum Torque,"14.4 Nm @ 6,000 rpm"
5,Bore,58.0 mm
6,Stroke,58.7 mm
7,Valves Per Cylinder,4-valves
8,Compression Ratio,10.5: 1
9,Fuel Delivery System,Fuel Injection
10,Ignition,TCI
11,Cooling System,liquid-cooled
12,Front Brake Type,Hydraulic single disc
13,Front Brake Size,230 mm
14,Rear Brake Type,Hydraulic single disc
15,Rear Brake Size,230 mm
16,Front Tyre Size,110/70-13
17,Rear Tyre Size,130/70-13
18,Front Suspension,Telescopic fork
19,Rear Suspension,Unit Swing
20,Kerb Weight,127 kg
21,Overall Length,"1,955 mm"
22,Overall Width,740 mm
23,Overall Height,"1,115 mm"
24,Wheelbase,"1,350 mm"
25,Ground Clearance,135 mm
26,Seat Height,765 mm
27,Fuel Tank Capacity,6.6litre
28,Start Type,Electric
