,Specs,Details
0,Price,"₨195,900"
1,Displacement,113.0cc
2,Max Power,"7.1PS/7,500 rpm"
3,Maximum Torque,"8.1 N.m/5,000 rpm"
4,Bore,50.0mm
5,Stroke,57.8.0mm
6,Fuel Delivery System,Carburetor
7,Ignition,CDI(Capacitor Discharge lgnition)
8,Transmission Type,V-belt automatic
9,Front Brake Type,Drum brake
10,Front Brake Size,130 mm diameter
11,Rear Brake Type,Drum brake
12,Rear Brake Size,130 mm diameter
13,Front Tyre Size,90/100-10 (53J)
14,Rear Tyre Size,90/100-10 (53J)
15,Tyre Type,Tube Type
16,Front Suspension,Telescopic
17,Rear Suspension,Unit swing
18,Kerb Weight,104 kg
19,Overall Length,18.35 cm
20,Overall Width,6.75 cm
21,Overall Height,10.90 cm
22,Wheelbase,"1,270 mm"
23,Ground Clearance,128 mm
24,Seat Height,760 mm
25,Fuel Tank Capacity,5.2 L
26,Start Type,Electric
27,Battery,"12V,5.0Ah(10H)"
28,Headlight Type,12V 35/35W XI
