,Specs,Details
0,Price,"₨220,900"
1,Displacement,113 CC
2,Max Power,7.1 PS/ 7500 rpm
3,Maximum Torque,8.1Nm (0.8kgf-m)/5000rpm
4,Stroke,4-stroke
5,Valves Per Cylinder,2-valve
6,Fuel Delivery System,Digital
7,Ignition,CDI (Capacitor Discharge Ignition)
8,Cooling System,Air-cooled
9,Front Brake Type,Hydraulic single disc brake
10,Front Brake Size,170mm
11,Rear Brake Type,Mechanical leading trailing drum brake
12,Rear Brake Size,170mm
13,Front Tyre Size,90/100-10 53J
14,Rear Tyre Size,90/100-10 53J
15,Tyre Type,Tubeless
16,Front Suspension,Telescopic Fork
17,Rear Suspension,Unit swing
18,Kerb Weight,103 kg
19,Overall Length,"1,820 mm"
20,Overall Width,700 mm
21,Overall Height,"1,115 mm"
22,Wheelbase,"1,270 mm"
23,Ground Clearance,130 mm
24,Seat Height,775 mm
25,Fuel Tank Capacity,5.2L
26,Speedometer,Digital
27,Start Type,Electric start & Kick start
28,Headlight Type,"12V,35/35Wx1"
29,Brake/Tail Light,"12V,21/5W x 1"
30,Turn Signal,"12V, 10W x 2 (Front & Rear)"
